GRC Code,ISTANS Code
1101,21
1102,321
1103,3221
1104,310
1105,331
1106,"332, 333, 354, 360"
1107,340
1108,352
1109,403
1201,"2011, 2013"
1202,"2012, 221"
1203,"3222, 3229"
1204,"351, 353, 359"
1205,370
1206,380
1207,"391, 392"
1208,402
1209,409
1301,190
1302,231
1303,232
1304,240
1305,250
1306,261
1307,262
1308,270
1309,280
1310,290
1311,"301, 302, 303"
1312,401
1401,"10, 11"
1402,120
1403,"13, 202"
1404,14
1405,15
1406,16
1407,17
1408,18
1409,411
1410,419
2101,51
2102,52
2201,56
2202,57
2203,58
2204,"59, 60"
2205,61
2206,62
2207,63
2208,70
2209,711
2210,712
2301,84
2302,"851, 852, 853, 854"
2303,"855, 856, 857"
2304,86
2305,87
2401,55
2402,"90, 91"
2403,94-99
